Surplus Number,Qty,Description,Price,Public Date,Type,Category
157311 0006 42111,1,"COMPUTER, SOM IT, PSYCH-GEN-010",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157311 0016 42111,1,"COMPUTER, SOM IT, PSYCH-GEN-030",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157049 0002 42056,1,"DESKTOP COMPUTER, HP",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157295 0013 42324,1,"DESKTOP COMPUTER, HP, ELITEDESK 800, 2UA6022423",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
156478 0001 42056,1,"TOWER, COMPUTER, HP, ELITEDESK, MXLG071PFS",$50.00,null,CPU,Computer/IT/Telecommunication Equipment/Supply
157351 0002 42242,2,LAPTOP,$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158474 0003 42481,1,"LAPTOP, ACER",$50.00,9/27/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157049 0004 42056,1,"LAPTOP, ACER, ASPIRE",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157369 0011 42494,1,"LAPTOP, ACER, N20C5, 11304795934",$150.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157369 0003 42494,1,"LAPTOP, APPLE, MACBOOK PRO, C02QX247FVH7",$100.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156459 0015 42310,1,"LAPTOP, ASUS, 58NXV03P318338",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156459 0006 42310,1,"LAPTOP, ASUS, CN7W52",$50.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156696 0008 42310,1,"LAPTOP, ASUS, P2540U, H8NXCV12K35434C",$50.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0004 42510,1,"LAPTOP, ASUS, ZENBOOK UX533F, K4N0CV06074116C",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157181 0044 42229,1,"LAPTOP, DELL",$50.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157181 0070 42229,1,"LAPTOP, DELL",$50.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156594 0005 42310,1,"LAPTOP, DELL, 23GGPV2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0048 42378,1,"LAPTOP, DELL, 2QCKMT2",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156946 0049 42028,1,"LAPTOP, DELL, 467QRQ2",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156720 0001 42067,1,"LAPTOP, DELL, 5480, 50D2GH2",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157623 0044 41931,1,"LAPTOP, DELL, 7400, 282HN13",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157623 0018 41931,1,"LAPTOP, DELL, 7400, 2T6PP13",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157623 0045 41931,1,"LAPTOP, DELL, 7400, GNFYP13",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156720 0004 42067,1,"LAPTOP, DELL, 7470, 97ZHGC2",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156720 0005 42067,1,"LAPTOP, DELL, 7480, 8T9ZZF2",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156720 0007 42067,1,"LAPTOP, DELL, 7480, 90N3062",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157369 0001 42494,1,"LAPTOP, DELL, 8KPVYMZ",$50.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
154050 0004 42086,1,"LAPTOP, DELL, E7470, BQLTL72",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157632 0006 42310,1,"LAPTOP, DELL, ELITEBOOK 850, 5CG8200PK8",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157632 0007 42310,1,"LAPTOP, DELL, ELITEBOOK 850, 5CG82125DG",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157632 0003 42310,1,"LAPTOP, DELL, ELITEBOOK, 5CG7135BZY",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156946 0046 42028,1,"LAPTOP, DELL, FTN73X2",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0046 42378,1,"LAPTOP, DELL, LATITUDE 3400, 3QCKMT2",$50.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158287 0048 42193,1,"LAPTOP, DELL, LATITUDE 3590",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158267 0004 42412,1,"LAPTOP, DELL, LATITUDE 5400",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0009 42510,1,"LAPTOP, DELL, LATITUDE 5400, 1C8K3Z2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0012 42510,1,"LAPTOP, DELL, LATITUDE 5400, 1JBQQ13",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158398 0085 42450,1,"LAPTOP, DELL, LATITUDE 5400, 3TNTL33",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157601 0018 42156,1,"LAPTOP, DELL, LATITUDE 5400, 511SL33",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0010 42510,1,"LAPTOP, DELL, LATITUDE 5400, 5F2PZY2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0013 42510,1,"LAPTOP, DELL, LATITUDE 5400, 6XKXL33",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158264 0009 42414,1,"LAPTOP, DELL, LATITUDE 5400, 753YZY2",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157514 0006 42125,1,"LAPTOP, DELL, LATITUDE 5400, 7MCDL33",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158264 0010 42414,1,"LAPTOP, DELL, LATITUDE 5400, 838RL33",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0014 42510,1,"LAPTOP, DELL, LATITUDE 5400, 8CW4ZY2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158264 0008 42414,1,"LAPTOP, DELL, LATITUDE 5400, 8ZHK9Y2",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0011 42510,1,"LAPTOP, DELL, LATITUDE 5400, 9LCSL33",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157514 0007 42125,1,"LAPTOP, DELL, LATITUDE 5400, 9P9VL33",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0008 42510,1,"LAPTOP, DELL, LATITUDE 5400, 9Q9TL33",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158398 0084 42450,1,"LAPTOP, DELL, LATITUDE 5400, C9789Y2",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158398 0086 42450,1,"LAPTOP, DELL, LATITUDE 5400, D87PQ13",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0017 42491,1,"LAPTOP, DELL, LATITUDE 5400, DX4BL33",$100.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0015 42510,1,"LAPTOP, DELL, LATITUDE 5410, 9YTT473",$200.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157156 0008 42093,1,"LAPTOP, DELL, LATITUDE 7290, 5QM7PV2",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157723 0012 42206,1,"LAPTOP, DELL, LATITUDE 7490, 113H0X2",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0022 42510,1,"LAPTOP, DELL, LATITUDE 7490, 169J6Y2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0018 42510,1,"LAPTOP, DELL, LATITUDE 7490, 27MLXT2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0021 42510,1,"LAPTOP, DELL, LATITUDE 7490, 5BSLXT2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0020 42510,1,"LAPTOP, DELL, LATITUDE 7490, 8DFBPV2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0017 42510,1,"LAPTOP, DELL, LATITUDE 7490, D79J6Y2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0016 42510,1,"LAPTOP, DELL, LATITUDE 7490, G8FLXT2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158566 0019 42510,1,"LAPTOP, DELL, LATITUDE 7490, HMHH0X2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157280 0007 42310,1,"LAPTOP, DELL, OPTIPLEX 7070, 1QY6Z23",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156696 0003 42310,1,"LAPTOP, DELL, OPTIPLEX 7070, 45KP9Z2",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157369 0006 42494,1,"LAPTOP, DELL, P75F, 36349903118",$50.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157369 0005 42494,1,"LAPTOP, DELL, P82J, BVZIVT2",$100.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0034 42491,1,"LAPTOP, DELL, PRECISION 3541, 5ZW0633",$150.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0031 42491,1,"LAPTOP, DELL, PRECISION 3541, 8WYY733",$150.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0035 42491,1,"LAPTOP, DELL, PRECISION 3541, 9YSWXY2",$150.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0036 42491,1,"LAPTOP, DELL, PRECISION 3541, C0WW3X2",$150.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0032 42491,1,"LAPTOP, DELL, PRECISION 3541, CMBQ2Z2",$150.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0033 42491,1,"LAPTOP, DELL, PRECISION 3541, H8BL9Y2",$150.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157632 0009 42310,1,"LAPTOP, HP, 840, 5CG8135BRT",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157514 0037 42125,1,"LAPTOP, HP, ELITEBOOK 840 G3, 5CG631251T",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157851 0040 42245,1,"LAPTOP, HP, ELITEBOOK 840 G3, 5CG6383HLZ",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158180 0089 42362,1,"LAPTOP, HP, ELITEBOOK 840 G3, 5CG6474B3P",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158180 0088 42362,1,"LAPTOP, HP, ELITEBOOK 840 G3, 5CG7090MMB",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158180 0087 42362,1,"LAPTOP, HP, ELITEBOOK 840 G3, 5CG71351KH",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158180 0090 42362,1,"LAPTOP, HP, ELITEBOOK 840 G3, 5CG7236397",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157235 0035 42096,1,"LAPTOP, HP, ELITEBOOK 840 G5, 5CG8523ZQ9",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0067 42491,1,"LAPTOP, HP, ELITEBOOK 850 G3, 5CG6282VZV",$100.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0068 42491,1,"LAPTOP, HP, ELITEBOOK 850 G3, 5CG6445DN8",$100.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0065 42491,1,"LAPTOP, HP, ELITEBOOK 850 G3, 5CG64538G8",$100.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0069 42491,1,"LAPTOP, HP, ELITEBOOK 850 G3, 5CG64538GK",$100.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158512 0066 42491,1,"LAPTOP, HP, ELITEBOOK 850 G3, 5CG7163JCN",$100.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157601 0046 42156,1,"LAPTOP, HP, ELITEBOOK 850 G5, 5CG9132GBF",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157280 0003 42310,1,"LAPTOP, HP, ELITEBOOK 850, 5CG8243C4H",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157632 0012 42310,1,"LAPTOP, HP, ELITEBOOK G4, 5CG78200PLK",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156696 0004 42310,1,"LAPTOP, HP, ELITEBOOK G4, 5CG8200PMB",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156459 0007 42310,1,"LAPTOP, HP, ELITEBOOK, 5CG7294QGV",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158147 0002 42310,1,"LAPTOP, HP, ELITEBOOK, 5CG73442X5",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156459 0005 42310,1,"LAPTOP, HP, ELITEBOOK, 5CG82032LJ",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156459 0008 42310,1,"LAPTOP, HP, ELITEBOOK, 5CG84812BL",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156696 0005 42310,1,"LAPTOP, HP, ELITEBOOK, 5CG923349K",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0037 42378,1,"LAPTOP, LENOVO",$50.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158427 0002 42469,1,"LAPTOP, LENOVO",$150.00,9/27/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157369 0004 42494,1,"LAPTOP, LENOVO, 8IWE, PF24A39M",$100.00,9/18/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0030 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V82X0",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0015 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V82Y4",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0023 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V82ZY",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0009 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V83PC",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0018 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V84M8",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0027 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V84QA",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0032 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V85QU",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0029 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V85RE",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0008 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V85RS",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0012 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V85SG",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0031 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V86YN",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0035 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V86ZA",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0024 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V870D",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0017 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V8884",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0006 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V888K",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0034 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V889T",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0025 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V88AC",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0028 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V88AF",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0033 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V8D2H",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0013 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V8FTY",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0016 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0V8FU7",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0007 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0VB6Y7",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0005 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0VBD16",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158159 0026 42378,1,"LAPTOP, LENOVO, IDEAPAD 320-15IKB, PF0VFUWL",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157624 0037 41931,1,"LAPTOP, LENOVO, T460, PC0E7DJ7",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157624 0036 41931,1,"LAPTOP, LENOVO, T480, PF15WFXT",$150.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
158267 0002 42412,1,"LAPTOP, LENOVO, THINKPAD T480",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
157624 0040 41931,1,"LAPTOP, LENOVO, X260, PC0E0920",$100.00,null,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156459 0013 42310,1,"LAPTOP, TOSHIBA, PS595V, ZK276467H",$100.00,9/22/2023,Laptop/Notebook,Computer/IT/Telecommunication Equipment/Supply
156203 0011 41951,15,MONITOR,$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
156249 0079 41848,2,MONITOR,$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
156807 0026 41884,3,MONITOR,$50.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
156809 0023 42165,5,MONITOR,$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
156814 0104 41969,21,MONITOR,$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
156828 0037 42266,3,MONITOR,$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
157332 0001 42192,1,MONITOR,$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
157351 0003 42242,6,MONITOR,$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
158055 0022 42319,1,MONITOR,$50.00,9/21/2023,Monitor,Computer/IT/Telecommunication Equipment/Supply
158474 0002 42481,1,MONITOR,$40.00,9/27/2023,Monitor,Computer/IT/Telecommunication Equipment/Supply
156816 0011 42195,1,"MONITOR, 42""",$75.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
157955 0030 42274,1,"MONITOR, APPLE, THUNDERBOLT",$40.00,9/18/2023,Monitor,Computer/IT/Telecommunication Equipment/Supply
158066 0008 42332,1,"MONITOR, ASUS, 24"" LED, B5LMQS017530",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
155564 0039 41767,1,"MONITOR, DELL",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
156594 0008 42310,1,"MONITOR, DELL",$40.00,9/22/2023,Monitor,Computer/IT/Telecommunication Equipment/Supply
156506 0075 41873,1,"MONITOR, DELL, 0U828K-744445-06T-HE4S",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
156988 0012 42040,1,"MONITOR, DELL, 2408WFPB, 74262-88T-26TS",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
158189 0006 42383,1,"MONITOR, DELL, 2418, HWB9BB3",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
154049 0011 42086,1,"MONITOR, ELE",$80.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
158264 0026 42414,1,"MONITOR, HP, 24 LED, CNK6210D4X",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
157624 0044 41931,1,"MONITOR, LENOVO",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
156506 0148 41873,1,"MONITOR, LG",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
158398 0014 42450,1,"MONITOR, NEC, 24 LCD, S25104926NA",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
158566 0107 42510,1,"MONITOR, NEC, 24 LED, S39132548NA",$40.00,9/22/2023,Monitor,Computer/IT/Telecommunication Equipment/Supply
157851 0120 42245,1,"MONITOR, NEC, 24 LED, S41100894NA",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
158066 0153 42332,1,"MONITOR, NEC, 24 LED, S42102922NA",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
157624 0043 41931,1,"MONITOR, NEC, MULTISYNC",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
157514 0123 42125,1,"MONITOR, NEC, S37126959NA, 24",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
157120 0060 42069,1,"MONITOR, NEC, S42103387NA, 24",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
156939 0132 42025,1,"MONITOR, NEC, S44106055NA, 24",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
157575 0004 42147,70,"MONITOR, SAMSUNG, 24""",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
155457 0014 42107,1,"MONITOR, SAMSUNG, HU241TUMSB0046X",$40.00,null,Monitor,Computer/IT/Telecommunication Equipment/Supply
157955 0002 42274,1,"MONITOR, X6",$60.00,9/18/2023,Monitor,Computer/IT/Telecommunication Equipment/Supply
157155 0025 41920,1,"PLOTTER, HP, P660A, 5G81P5200K",$200.00,null,Printer/Plotter/Scanner/Fax,Computer/IT/Telecommunication Equipment/Supply
157127 0012 42078,7,"STAGE LIGHT, 6"" 1K EDGE FRESNAL, CAT 6010A",$50.00,null,Lighting,Electrical Equipment/Supply
157140 0039 42078,1,"STAGE LIGHT, 6"" FRESNELITE STRAND, CAT 12091, Q448/2-",$50.00,null,Lighting,Electrical Equipment/Supply
157140 0037 42078,1,"STAGE LIGHT, 6"" FRESNELITE STRAND, CAT 12091, Q548/2-",$50.00,null,Lighting,Electrical Equipment/Supply
157140 0041 42078,1,"STAGE LIGHT, 6"" FRESNELITE STRAND, CAT 12091, Q548/2-",$50.00,null,Lighting,Electrical Equipment/Supply
157140 0040 42078,1,"STAGE LIGHT, 6"" FRESNELITE STRAND, CAT 12091, Q548/8-",$50.00,null,Lighting,Electrical Equipment/Supply
157140 0038 42078,1,"STAGE LIGHT, 6"" FRESNELITE STRAND, CAT 12091, Q558/8-",$50.00,null,Lighting,Electrical Equipment/Supply
157139 0018 42078,1,"STAGE LIGHT, AMERICAN DJ LIGHT, P64LED, 2160099",$50.00,null,Lighting,Electrical Equipment/Supply
157139 0026 42078,1,"STAGE LIGHT, CASTOR 2 K, 270, 0594",$50.00,null,Lighting,Electrical Equipment/Supply
157139 0024 42078,1,"STAGE LIGHT, CASTOR 2 K, 270, 0608",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0005 42091,1,"STAGE LIGHT, CASTOR CAT 35002, 270, 2629",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0006 42091,1,"STAGE LIGHT, CASTOR CAT 35002, 270, 2639",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0004 42091,1,"STAGE LIGHT, CASTOR CAT 35002, 270, 2678",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0002 42091,1,"STAGE LIGHT, CASTOR CAT 3501TV, 270, 0457",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0003 42091,1,"STAGE LIGHT, CASTOR CAT 3501TV, 270, 0605",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0001 42091,1,"STAGE LIGHT, CASTOR CAT 3501TV, 270, 0613",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0007 42091,4,"STAGE LIGHT, COLOTRAN FAR CYC, 108-300/400",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0013 42091,1,"STAGE LIGHT, COURBEVOIE 1K, 1844",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0009 42091,1,"STAGE LIGHT, DESISTI STUDIO, 447 07",$50.00,null,Lighting,Electrical Equipment/Supply
157231 0008 42091,1,"STAGE LIGHT, DESISTI STUDIO, 448 07",$50.00,null,Lighting,Electrical Equipment/Supply
157127 0001 42078,10,"STAGE LIGHT, LEE COLORTRAN 1 K FRESNEL, 100-515",$50.00,null,Lighting,Electrical Equipment/Supply
157139 0019 42078,1,"STAGE LIGHT, LEE COLORTRAN 2K, 100-525",$50.00,null,Lighting,Electrical Equipment/Supply
157139 0020 42078,1,"STAGE LIGHT, LEE COLORTRAN 2K, 5373, 306",$50.00,null,Lighting,Electrical Equipment/Supply
